,fwy,dir,link,from_node,to_node,geometry,vds,Cluster_Labels,geometry_station
35,I105,E,27894689_1,23964236,1344183602,"LINESTRING (1975045.244811933 547434.3031689313, 1975057.0525471913 547434.2381960313)",716431,5,POINT (1975352.6519342696 547432.284899673)
36,I105,E,119723543_0,1344183602,1344183594,"LINESTRING (1975057.0525471913 547434.2381960313, 1975104.9215597934 547433.9989301822)",716431,5,POINT (1975352.6519342696 547432.284899673)
37,I105,E,119723533_0,1344183594,1347549266,"LINESTRING (1975104.9215597934 547433.9989301822, 1975446.6997768802 547432.53513166)",716431,5,POINT (1975352.6519342696 547432.284899673)
38,I105,E,120112495_0,1347549266,1347549278,"LINESTRING (1975446.6997768802 547432.53513166, 1975509.3639627856 547432.5250935301)",716433,5,POINT (1975670.3582968237 547429.673026434)
39,I105,E,120112496_0,1347549278,1347549281,"LINESTRING (1975509.3639627856 547432.5250935301, 1975743.8362184921 547431.3666858524)",716433,5,POINT (1975670.3582968237 547429.673026434)
40,I105,E,120112499_0,1347549281,1347549270,"LINESTRING (1975743.8362184921 547431.3666858524, 1975783.022899743 547431.2090376653)",716433,5,POINT (1975670.3582968237 547429.673026434)
41,I105,E,120112502_0,1347549270,279645118,"LINESTRING (1975783.022899743 547431.2090376653, 1975828.9872652024 547431.0228336221)",716433,5,POINT (1975670.3582968237 547429.673026434)
42,I105,E,120112502_1,279645118,279645171,"LINESTRING (1975828.9872652024 547431.0228336221, 1976453.7398253577 547491.8361133883)",760187,5,POINT (1976616.5171414337 547521.7518194456)
43,I105,E,25653774_0,279645171,3946729398,"LINESTRING (1976453.7398253577 547491.8361133883, 1976485.5325403118 547496.7250258387)",760187,5,POINT (1976616.5171414337 547521.7518194456)
44,I105,E,391456488_0,3946729398,279645185,"LINESTRING (1976485.5325403118 547496.7250258387, 1976666.5198402072 547524.476902228)",760187,5,POINT (1976616.5171414337 547521.7518194456)
45,I105,E,25653777_0,279645185,279645196,"LINESTRING (1976666.5198402072 547524.476902228, 1976922.8377093326 547563.6587088634)",760187,5,POINT (1976616.5171414337 547521.7518194456)
46,I105,E,25653791_0,279645196,279645197,"LINESTRING (1976922.8377093326 547563.6587088634, 1976973.400011995 547568.4583336652)",760187,5,POINT (1976616.5171414337 547521.7518194456)
47,I105,E,172596046_0,279645197,279645242,"LINESTRING (1976973.400011995 547568.4583336652, 1977209.3184071018 547570.206240473)",760196,15,POINT (1977760.6020280118 547528.039596095)
48,I105,E,172596044_0,279645242,279645238,"LINESTRING (1977209.3184071018 547570.206240473, 1977248.4599774885 547566.9711892535)",760196,15,POINT (1977760.6020280118 547528.039596095)
49,I105,E,25653782_0,279645238,273487635,"LINESTRING (1977248.4599774885 547566.9711892535, 1977372.1359914823 547557.4847440026)",760196,15,POINT (1977760.6020280118 547528.039596095)
50,I105,E,25118716_0,273487635,273487576,"LINESTRING (1977372.1359914823 547557.4847440026, 1977855.4787019081 547523.4870172238)",760196,15,POINT (1977760.6020280118 547528.039596095)
51,I105,E,25118717_0,273487576,273487585,"LINESTRING (1977855.4787019081 547523.4870172238, 1978081.8035142682 547507.077289176)",716440,9,POINT (1979026.3049746968 547629.1439682009)
52,I105,E,25118746_0,273487585,293917161,"LINESTRING (1978081.8035142682 547507.077289176, 1978622.9829844912 547506.9038626782)",716440,9,POINT (1979026.3049746968 547629.1439682009)
53,I105,E,26793157_0,293917161,2193652051,"LINESTRING (1978622.9829844912 547506.9038626782, 1979671.9389296083 547606.0792250312)",716440,9,POINT (1979026.3049746968 547629.1439682009)
